epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.138,0.99541,3.49501,1.29566,0.21966,0.5508,0.23708,0.15548,1.27431,2.1636,1.57568,0.00017454,0.00017454,0.00017454
2,266.446,0.91324,2.61593,1.20696,0.29418,0.45399,0.34923,0.22996,1.15562,1.8153,1.43134,0.000346378,0.000346378,0.000346378
3,420.176,0.89718,2.28673,1.18616,0.4128,0.52029,0.41416,0.30924,0.97451,1.65194,1.23111,0.000514713,0.000514713,0.000514713
4,571.891,0.8718,2.02278,1.16161,0.46361,0.58086,0.50147,0.35552,1.0318,1.46204,1.29183,0.000510236,0.000510236,0.000510236
5,705.362,0.84565,1.78484,1.14959,0.46614,0.67364,0.56415,0.41985,0.93201,1.32889,1.19712,0.000504981,0.000504981,0.000504981
6,837.466,0.80859,1.59434,1.12224,0.73529,0.64129,0.69939,0.5246,0.92694,1.12365,1.20108,0.000499726,0.000499726,0.000499726
7,976.74,0.78489,1.44799,1.10499,0.65776,0.68185,0.73208,0.56217,0.87171,1.01052,1.16452,0.000494472,0.000494472,0.000494472
8,1107.66,0.77958,1.35481,1.10535,0.7693,0.75151,0.81603,0.6368,0.84482,0.89561,1.14187,0.000489217,0.000489217,0.000489217
9,1238.53,0.758,1.2563,1.08906,0.84879,0.75597,0.85356,0.6085,1.04429,0.85119,1.34401,0.000483962,0.000483962,0.000483962
10,1368.64,0.76594,1.2006,1.092,0.85638,0.75384,0.85223,0.66092,0.8429,0.78387,1.14277,0.000478707,0.000478707,0.000478707
11,1502.96,0.74725,1.09645,1.08218,0.91498,0.75752,0.86574,0.6627,0.86167,0.72291,1.17339,0.000473453,0.000473453,0.000473453
12,1638.12,0.73019,1.07108,1.077,0.91515,0.78609,0.88857,0.68731,0.83149,0.70479,1.11586,0.000468198,0.000468198,0.000468198
13,1772.02,0.7261,1.04792,1.08092,0.89392,0.81196,0.89898,0.73045,0.72821,0.66087,1.02615,0.000462943,0.000462943,0.000462943
14,1903.17,0.73185,1.02253,1.07573,0.88787,0.80498,0.8963,0.69195,0.82673,0.67809,1.09124,0.000457688,0.000457688,0.000457688
15,2032.58,0.71746,0.98363,1.06248,0.91867,0.83915,0.9171,0.74214,0.7348,0.59997,1.03074,0.000452434,0.000452434,0.000452434
16,2172.45,0.71146,0.95724,1.05875,0.90193,0.84024,0.91286,0.74531,0.72782,0.58585,1.03985,0.000447179,0.000447179,0.000447179
17,2313.02,0.70411,0.91682,1.05671,0.90916,0.83786,0.92389,0.74041,0.75289,0.58018,1.07695,0.000441924,0.000441924,0.000441924
18,2450.21,0.69472,0.92464,1.05954,0.87878,0.81158,0.91035,0.75063,0.68552,0.60329,1.00336,0.000436669,0.000436669,0.000436669
19,2644.68,0.69317,0.90729,1.0525,0.90203,0.86173,0.93102,0.72832,0.78275,0.57902,1.08118,0.000431415,0.000431415,0.000431415
20,2990.29,0.69467,0.86935,1.05099,0.90678,0.86488,0.93116,0.75404,0.72714,0.55372,1.0389,0.00042616,0.00042616,0.00042616
21,3338.42,0.68352,0.86704,1.04044,0.92932,0.83118,0.93137,0.74212,0.75194,0.57671,1.07245,0.000420905,0.000420905,0.000420905
22,3700.4,0.68166,0.84166,1.04427,0.92841,0.84575,0.93192,0.74406,0.751,0.53344,1.05322,0.00041565,0.00041565,0.00041565
23,4046.27,0.68371,0.84152,1.04661,0.9414,0.84928,0.93596,0.73852,0.78963,0.54317,1.09777,0.000410396,0.000410396,0.000410396
24,4385.41,0.66928,0.81883,1.04002,0.93555,0.86545,0.9363,0.74897,0.74002,0.53335,1.08422,0.000405141,0.000405141,0.000405141
25,4771.8,0.6753,0.82897,1.04029,0.92971,0.85735,0.93934,0.7642,0.71421,0.49993,1.02384,0.000399886,0.000399886,0.000399886
26,5133.87,0.66669,0.79479,1.03075,0.93564,0.8837,0.94681,0.75361,0.74729,0.48841,1.03808,0.000394632,0.000394632,0.000394632
27,5296.83,0.6592,0.792,1.03625,0.92344,0.86013,0.93563,0.73717,0.77218,0.51742,1.05267,0.000389377,0.000389377,0.000389377
28,5436.24,0.65156,0.77226,1.02684,0.93328,0.84232,0.93836,0.75321,0.73286,0.50506,1.04851,0.000384122,0.000384122,0.000384122
29,5573.62,0.66181,0.77059,1.03398,0.93806,0.86615,0.94754,0.77556,0.68825,0.49474,1.02371,0.000378867,0.000378867,0.000378867
30,5710.9,0.6528,0.76355,1.03516,0.95773,0.86021,0.94579,0.77217,0.69188,0.49077,1.00389,0.000373613,0.000373613,0.000373613
31,5846.73,0.65795,0.75655,1.02719,0.94933,0.86643,0.95042,0.76744,0.71606,0.47405,1.02859,0.000368358,0.000368358,0.000368358
32,5980.67,0.64548,0.74907,1.02725,0.94331,0.86738,0.94562,0.74377,0.80667,0.4998,1.13495,0.000363103,0.000363103,0.000363103
